Scientific_Name,Common_Name,name,label,Indicator_Status
Other,Other,Other,Other/ Temporary,
Abies amabilis,Pacific Silver Fir,Abies amabilis,Abies amabilis - Pacific Silver Fir,FACU
Abies bifolia,Rocky Mountain Alpine Fir,Abies bifolia,Abies bifolia - Rocky Mountain Alpine Fir,FACU
Abies grandis,Grand Fir,Abies grandis,Abies grandis - Grand Fir,FACU
Abies lasiocarpa,Subalpine Fir,Abies lasiocarpa,Abies lasiocarpa - Subalpine Fir,FACU
Abies procera,Noble Fir,Abies procera,Abies procera - Noble Fir,FACU
Abutilon theophrasti,Velvetleaf,Abutilon theophrasti,Abutilon theophrasti - Velvetleaf,UPL
Acanthomintha ilicifolia,San Diego Thorn-Mint,Acanthomintha ilicifolia,Acanthomintha ilicifolia - San Diego Thorn-Mint,FAC
Acer circinatum,Vine Maple,Acer circinatum,Acer circinatum - Vine Maple,FAC
Acer glabrum,Rocky Mountain Maple,Acer glabrum,Acer glabrum - Rocky Mountain Maple,FAC
Acer grandidentatum,Canyon Maple,Acer grandidentatum,Acer grandidentatum - Canyon Maple,FACU
Acer macrophyllum,Big-Leaf Maple,Acer macrophyllum,Acer macrophyllum - Big-Leaf Maple,FAC
Acer negundo,Ash-Leaf Maple,Acer negundo,Acer negundo - Ash-Leaf Maple,FACW
Acer platanoides,Norway Maple,Acer platanoides,Acer platanoides - Norway Maple,UPL
Acer saccharinum,Silver Maple,Acer saccharinum,Acer saccharinum - Silver Maple,FAC
Acer saccharum,Sugar Maple,Acer saccharum,Acer saccharum - Sugar Maple,FACU
Achillea millefolium,Common Yarrow,Achillea millefolium,Achillea millefolium - Common Yarrow,FACU
Achillea ptarmica,Pearl Yarrow,Achillea ptarmica,Achillea ptarmica - Pearl Yarrow,FACU
Achnatherum diegoense,San Diego Rice Grass,Achnatherum diegoense,Achnatherum diegoense - San Diego Rice Grass,FACW
Achnatherum hymenoides,Indian Rice Grass,Achnatherum hymenoides,Achnatherum hymenoides - Indian Rice Grass,UPL
Achnatherum nelsonii,Nelson's Rice Grass,Achnatherum nelsonii,Achnatherum nelsonii - Nelson's Rice Grass,FACU
Achnatherum richardsonii,Richardson's Rice Grass,Achnatherum richardsonii,Achnatherum richardsonii - Richardson's Rice Grass,UPL
Achyrachaena mollis,Blow-Wives,Achyrachaena mollis,Achyrachaena mollis - Blow-Wives,FAC
Acmispon americanus,American Deerweed,Acmispon americanus,Acmispon americanus - American Deerweed,UPL
Aconitum columbianum,Columbian Monkshood,Aconitum columbianum,Aconitum columbianum - Columbian Monkshood,FACW
Aconitum infectum,Arizona Monkshood,Aconitum infectum,Aconitum infectum - Arizona Monkshood,FACW
Aconogonon phytolaccifolium,Alpine Fleeceflower,Aconogonon phytolaccifolium,Aconogonon phytolaccifolium - Alpine Fleeceflower,FAC
Acorus americanus,Several-Vein Sweetflag,Acorus americanus,Acorus americanus - Several-Vein Sweetflag,OBL
Acorus calamus,Single-Vein Sweetflag,Acorus calamus,Acorus calamus - Single-Vein Sweetflag,OBL
Actaea rubra,Red Baneberry,Actaea rubra,Actaea rubra - Red Baneberry,FAC
Adiantum aleuticum,Aleutian Maidenhair,Adiantum aleuticum,Adiantum aleuticum - Aleutian Maidenhair,FAC
Adiantum capillus-veneris,Southern Maidenhair,Adiantum capillus-veneris,Adiantum capillus-veneris - Southern Maidenhair,FACW
Adiantum jordanii,California Maidenhair,Adiantum jordanii,Adiantum jordanii - California Maidenhair,FAC
Adoxa moschatellina,Muskroot,Adoxa moschatellina,Adoxa moschatellina - Muskroot,FAC
Aegopodium podagraria,Bishop's Goutweed,Aegopodium podagraria,Aegopodium podagraria - Bishop's Goutweed,FAC
Agalinis calycina,Leoncita False Foxglove,Agalinis calycina,Agalinis calycina - Leoncita False Foxglove,OBL
Agalinis tenuifolia,Slender-Leaf False Foxglove,Agalinis tenuifolia,Agalinis tenuifolia - Slender-Leaf False Foxglove,FACW
Agastache urticifolia,Nettle-Leaf Giant-Hyssop,Agastache urticifolia,Agastache urticifolia - Nettle-Leaf Giant-Hyssop,FACU
Agave americana,American Century-Plant,Agave americana,Agave americana - American Century-Plant,UPL
Agave sisalana,Sisal-Hemp,Agave sisalana,Agave sisalana - Sisal-Hemp,UPL
Ageratina adenophora,Crofton Weed,Ageratina adenophora,Ageratina adenophora - Crofton Weed,FACU
