Scientific_Name,Common_Name,name,label,Indicator_Status
Other,Other,Other,Other / Temporary,
Abies balsamea,Balsam Fir,Abies balsamea,Abies balsamea - Balsam Fir,FAC
Abutilon theophrasti,Velvetleaf,Abutilon theophrasti,Abutilon theophrasti - Velvetleaf,UPL
Acalypha gracilens,Slender Three-Seed-Mercury,Acalypha gracilens,Acalypha gracilens - Slender Three Seed Mercury,FAC
Acalypha poiretii,Poiret's Copperleaf,Acalypha poiretii,Acalypha poiretii - Poiret's Copperleaf,FACU
Acalypha rhomboidea,Common Three-Seed-Mercury,Acalypha rhomboidea,Acalypha rhomboidea - Common Three Seed Mercury,FACU
Acalypha virginica,Virginia Three-Seed-Mercury,Acalypha virginica,Acalypha virginica - Virginia Three Seed Mercury,FACU
Acanthocereus tetragonus,Triangle Cactus,Acanthocereus tetragonus,Acanthocereus tetragonus - Triangle Cactus,FACU
Acer glabrum,Rocky Mountain Maple,Acer glabrum,Acer glabrum - Rocky Mountain Maple,FAC
Acer grandidentatum,Canyon Maple,Acer grandidentatum,Acer grandidentatum - Canyon Maple,FAC
Acer negundo,Ash-Leaf Maple,Acer negundo,Acer negundo - Ash Leaf Maple,FAC
Acer platanoides,Norway Maple,Acer platanoides,Acer platanoides - Norway Maple,UPL
Acer rubrum,Red Maple,Acer rubrum,Acer rubrum - Red Maple,FAC
Acer saccharinum,Silver Maple,Acer saccharinum,Acer saccharinum - Silver Maple,FAC
Acer saccharum,Sugar Maple,Acer saccharum,Acer saccharum - Sugar Maple,UPL
Acer spicatum,Mountain Maple,Acer spicatum,Acer spicatum - Mountain Maple,FACU
Achillea millefolium,Common Yarrow,Achillea millefolium,Achillea millefolium - Common Yarrow,FACU
Achillea ptarmica,Pearl Yarrow,Achillea ptarmica,Achillea ptarmica - Pearl Yarrow,FACU
Achnatherum hymenoides,Indian Rice Grass,Achnatherum hymenoides,Achnatherum hymenoides - Indian Rice Grass,FACU
Achnatherum nelsonii,Nelson's Rice Grass,Achnatherum nelsonii,Achnatherum nelsonii - Nelson's Rice Grass,UPL
Achnatherum richardsonii,Richardson's Rice Grass,Achnatherum richardsonii,Achnatherum richardsonii - Richardson's Rice Grass,FACU
Achyranthes aspera,Devil's-Horsewhip,Achyranthes aspera,Achyranthes aspera - Devil's Horsewhip,UPL
Acmella repens,Opposite-Leaf Spotflower,Acmella repens,Acmella repens - Opposite Leaf Spotflower,FACW
Acmispon americanus,American Deerweed,Acmispon americanus,Acmispon americanus - American Deerweed,FACU
Aconitum columbianum,Columbian Monkshood,Aconitum columbianum,Aconitum columbianum - Columbian Monkshood,FACW
Acorus americanus,Several-Vein Sweetflag,Acorus americanus,Acorus americanus - Several Vein Sweetflag,OBL
Acorus calamus,Single-Vein Sweetflag,Acorus calamus,Acorus calamus - Single Vein Sweetflag,OBL
Actaea rubra,Red Baneberry,Actaea rubra,Actaea rubra - Red Baneberry,FACU
Adiantum aleuticum,Aleutian Maidenhair,Adiantum aleuticum,Adiantum aleuticum - Aleutian Maidenhair,FAC
Adiantum capillus-veneris,Southern Maidenhair,Adiantum capillus-veneris,Adiantum capillus veneris - Southern Maidenhair,FACW
Adiantum pedatum,Northern Maidenhair,Adiantum pedatum,Adiantum pedatum - Northern Maidenhair,FAC
Adiantum tricholepis,Fuzzy Maidenhair,Adiantum tricholepis,Adiantum tricholepis - Fuzzy Maidenhair,FAC
Adoxa moschatellina,Muskroot,Adoxa moschatellina,Adoxa moschatellina - Muskroot,FAC
Aeschynomene indica,Indian Joint-Vetch,Aeschynomene indica,Aeschynomene indica - Indian Joint Vetch,FACW
Aesculus glabra,Ohio Buckeye,Aesculus glabra,Aesculus glabra - Ohio Buckeye,FAC
Aesculus pavia,Red Buckeye,Aesculus pavia,Aesculus pavia - Red Buckeye,FAC
Agalinis aspera,Tall False Foxglove,Agalinis aspera,Agalinis aspera - Tall False Foxglove,FACU
Agalinis calycina,Leoncita False Foxglove,Agalinis calycina,Agalinis calycina - Leoncita False Foxglove,OBL
Agalinis fasciculata,Beach False Foxglove,Agalinis fasciculata,Agalinis fasciculata - Beach False Foxglove,FAC
Agalinis heterophylla,Prairie False Foxglove,Agalinis heterophylla,Agalinis heterophylla - Prairie False Foxglove,FAC
Agalinis maritima,Saltmarsh False Foxglove,Agalinis maritima,Agalinis maritima - Saltmarsh False Foxglove,OBL
Agalinis paupercula,Small-Flower False Foxglove,Agalinis paupercula,Agalinis paupercula - Small Flower False Foxglove,FAC
Agalinis purpurea,Purple False Foxglove,Agalinis purpurea,Agalinis purpurea - Purple False Foxglove,FACW
Agalinis skinneriana,Skinner's False Foxglove,Agalinis skinneriana,Agalinis skinneriana - Skinner's False Foxglove,FACU
Agalinis tenuifolia,Slender-Leaf False Foxglove,Agalinis tenuifolia,Agalinis tenuifolia - Slender Leaf False Foxglove,FAC
Agastache nepetoides,Yellow Giant-Hyssop,Agastache nepetoides,Agastache nepetoides - Yellow Giant Hyssop,FACU
Agave americana,American Century-Plant,Agave americana,Agave americana - American Century Plant,UPL
Ageratina altissima,White Snakeroot,Ageratina altissima,Ageratina altissima - White Snakeroot,UPL
Ageratum houstonianum,Bluemink,Ageratum houstonianum,Ageratum houstonianum - Bluemink,FACU
Agoseris glauca,Pale Goat-Chicory,Agoseris glauca,Agoseris glauca - Pale Goat Chicory,FACU
Agoseris parviflora,Small-Flower Goat-Chicory,Agoseris parviflora,Agoseris parviflora - Small Flower Goat Chicory,UPL
Agoseris X agrestis,,Agoseris X agrestis,Agoseris X agrestis,UPL
Agrimonia gryposepala,Tall Hairy Grooveburr,Agrimonia gryposepala,Agrimonia gryposepala - Tall Hairy Grooveburr,FAC
Agrimonia parviflora,Harvestlice,Agrimonia parviflora,Agrimonia parviflora - Harvestlice,FACW
Agrimonia rostellata,Beaked Grooveburr,Agrimonia rostellata,Agrimonia rostellata - Beaked Grooveburr,FAC
Agrimonia striata,Woodland Grooveburr,Agrimonia striata,Agrimonia striata - Woodland Grooveburr,FACU
Agrostis capillaris,Colonial Bent,Agrostis capillaris,Agrostis capillaris - Colonial Bent,FAC
Agrostis elliottiana,Elliott's Bent,Agrostis elliottiana,Agrostis elliottiana - Elliott's Bent,FACU
Agrostis exarata,Spiked Bent,Agrostis exarata,Agrostis exarata - Spiked Bent,FACW
Agrostis gigantea,Black Bent,Agrostis gigantea,Agrostis gigantea - Black Bent,FACW
Agrostis hyemalis,Winter Bent,Agrostis hyemalis,Agrostis hyemalis - Winter Bent,FACW
Agrostis idahoensis,Idaho Bent,Agrostis idahoensis,Agrostis idahoensis - Idaho Bent,FACW
Agrostis mertensii,Northern Bent,Agrostis mertensii,Agrostis mertensii - Northern Bent,FACU
Agrostis perennans,Upland Bent,Agrostis perennans,Agrostis perennans - Upland Bent,FAC
Agrostis scabra,Rough Bent,Agrostis scabra,Agrostis scabra - Rough Bent,FAC
Agrostis stolonifera,Spreading Bent,Agrostis stolonifera,Agrostis stolonifera - Spreading Bent,FACW
Ailanthus altissima,Tree-of-Heaven,Ailanthus altissima,Ailanthus altissima - Tree of Heaven,FACU
Aira caryophyllea,Common Silver-Hair Grass,Aira caryophyllea,Aira caryophyllea - Common Silver Hair Grass,FACU
Albizia lebbeck,Woman's-Tongue,Albizia lebbeck,Albizia lebbeck - Woman's Tongue,UPL
Aletris aurea,Golden Colicroot,Aletris aurea,Aletris aurea - Golden Colicroot,FACW
Aletris farinosa,White Colicroot,Aletris farinosa,Aletris farinosa - White Colicroot,FAC
Alhagi maurorum,Camelthorn,Alhagi maurorum,Alhagi maurorum - Camelthorn,FAC
Aliciella pinnatifida,Sticky Cheat Gily-Flower,Aliciella pinnatifida,Aliciella pinnatifida - Sticky Cheat Gily Flower,FAC
Alisma gramineum,Narrow-Leaf Water-Plantain,Alisma gramineum,Alisma gramineum - Narrow Leaf Water Plantain,OBL
Alisma subcordatum,American Water-Plantain,Alisma subcordatum,Alisma subcordatum - American Water Plantain,OBL
Alisma triviale,Northern Water-Plantain,Alisma triviale,Alisma triviale - Northern Water Plantain,OBL
Allenrolfea occidentalis,Iodinebush,Allenrolfea occidentalis,Allenrolfea occidentalis - Iodinebush,FACW
Alliaria petiolata,Garlic-Mustard,Alliaria petiolata,Alliaria petiolata - Garlic Mustard,FACU
Allium bisceptrum,Aspen Onion,Allium bisceptrum,Allium bisceptrum - Aspen Onion,FACU
Allium canadense,Meadow Garlic,Allium canadense,Allium canadense - Meadow Garlic,FACU
Allium cernuum,Nodding Onion,Allium cernuum,Allium cernuum - Nodding Onion,UPL
Allium geyeri,Geyer's Onion,Allium geyeri,Allium geyeri - Geyer's Onion,FACU
Allium schoenoprasum,Wild Chives,Allium schoenoprasum,Allium schoenoprasum - Wild Chives,FACU
Allium tricoccum,Ramp,Allium tricoccum,Allium tricoccum - Ramp,FACU
Allium vineale,Crow Garlic,Allium vineale,Allium vineale - Crow Garlic,FACU
Allolepis texana,Texas-Salt,Allolepis texana,Allolepis texana - Texas Salt,FAC
Almutaster pauciflorus,Marsh-Aster,Almutaster pauciflorus,Almutaster pauciflorus - Marsh Aster,FACW
Alnus glutinosa,European Alder,Alnus glutinosa,Alnus glutinosa - European Alder,FACW
Alnus incana,Speckled Alder,Alnus incana,Alnus incana - Speckled Alder,FACW
Alnus maritima,Seaside Alder,Alnus maritima,Alnus maritima - Seaside Alder,OBL
Alnus oblongifolia,Arizona Alder,Alnus oblongifolia,Alnus oblongifolia - Arizona Alder,FACW
Alnus serrulata,Brookside Alder,Alnus serrulata,Alnus serrulata - Brookside Alder,OBL
Alnus viridis,Sitka Alder,Alnus viridis,Alnus viridis - Sitka Alder,FAC
Alocasia macrorrhizos,Giant Taro,Alocasia macrorrhizos,Alocasia macrorrhizos - Giant Taro,FACW
Alopecurus aequalis,Short-Awn Meadow-Foxtail,Alopecurus aequalis,Alopecurus aequalis - Short Awn Meadow Foxtail,OBL
Alopecurus arundinaceus,Creeping Meadow-Foxtail,Alopecurus arundinaceus,Alopecurus arundinaceus - Creeping Meadow Foxtail,FACW
Alopecurus carolinianus,Tufted Meadow-Foxtail,Alopecurus carolinianus,Alopecurus carolinianus - Tufted Meadow Foxtail,FACW
Alopecurus geniculatus,Marsh Meadow-Foxtail,Alopecurus geniculatus,Alopecurus geniculatus - Marsh Meadow Foxtail,OBL
Alopecurus magellanicus,Alpine Meadow-Foxtail,Alopecurus magellanicus,Alopecurus magellanicus - Alpine Meadow Foxtail,FACW
Alopecurus myosuroides,Slender Meadow-Foxtail,Alopecurus myosuroides,Alopecurus myosuroides - Slender Meadow Foxtail,FACW
Alopecurus pratensis,Field Meadow-Foxtail,Alopecurus pratensis,Alopecurus pratensis - Field Meadow Foxtail,FACW
Alophia drummondii,Propeller-Flower,Alophia drummondii,Alophia drummondii - Propeller Flower,FACU
Alternanthera ficoidea,Sanguinaria,Alternanthera ficoidea,Alternanthera ficoidea - Sanguinaria,FACU
Alternanthera paronychioides,Smooth Joyweed,Alternanthera paronychioides,Alternanthera paronychioides - Smooth Joyweed,OBL
Alternanthera philoxeroides,Alligator-Weed,Alternanthera philoxeroides,Alternanthera philoxeroides - Alligator Weed,OBL
Althaea officinalis,Common Marsh-Mallow,Althaea officinalis,Althaea officinalis - Common Marsh Mallow,FACW
Amaranthus acanthochiton,Greenstripe,Amaranthus acanthochiton,Amaranthus acanthochiton - Greenstripe,FACU
Amaranthus albus,Tumbleweed,Amaranthus albus,Amaranthus albus - Tumbleweed,FACU
Amaranthus arenicola,Sandhill Amaranth,Amaranthus arenicola,Amaranthus arenicola - Sandhill Amaranth,FACU
Amaranthus australis,Southern Amaranth,Amaranthus australis,Amaranthus australis - Southern Amaranth,OBL
Amaranthus blitoides,Mat Amaranth,Amaranthus blitoides,Amaranthus blitoides - Mat Amaranth,FAC
Amaranthus blitum,Purple Amaranth,Amaranthus blitum,Amaranthus blitum - Purple Amaranth,FACU
Amaranthus californicus,California Amaranth,Amaranthus californicus,Amaranthus californicus - California Amaranth,FACW
Amaranthus crassipes,Spreading Amaranth,Amaranthus crassipes,Amaranthus crassipes - Spreading Amaranth,FAC
Amaranthus greggii,Josiah Amaranth,Amaranthus greggii,Amaranthus greggii - Josiah Amaranth,FAC
Amaranthus obcordatus,Trans-Pecos Amaranth,Amaranthus obcordatus,Amaranthus obcordatus - Trans Pecos Amaranth,FACU
Amaranthus palmeri,Careless Weed,Amaranthus palmeri,Amaranthus palmeri - Careless Weed,FACU
Amaranthus retroflexus,Red-Root,Amaranthus retroflexus,Amaranthus retroflexus - Red Root,FACU
Amaranthus spinosus,Spiny Amaranth,Amaranthus spinosus,Amaranthus spinosus - Spiny Amaranth,FACU
Amaranthus tuberculatus,Rough-Fruit Amaranth,Amaranthus tuberculatus,Amaranthus tuberculatus - Rough Fruit Amaranth,FAC
Amaranthus viridis,Slender Amaranth,Amaranthus viridis,Amaranthus viridis - Slender Amaranth,FAC
Amaranthus X texensis,,Amaranthus X texensis,Amaranthus X texensis,FACW
Ambrosia artemisiifolia,Annual Ragweed,Ambrosia artemisiifolia,Ambrosia artemisiifolia - Annual Ragweed,FACU
Ambrosia grayi,Woolly-Leaf Burr-Ragweed,Ambrosia grayi,Ambrosia grayi - Woolly Leaf Burr Ragweed,FAC
Ambrosia monogyra,Needle-Leaf Burrobush,Ambrosia monogyra,Ambrosia monogyra - Needle Leaf Burrobush,FACU
Ambrosia psilostachya,Perennial Ragweed,Ambrosia psilostachya,Ambrosia psilostachya - Perennial Ragweed,FACU
Ambrosia trifida,Great Ragweed,Ambrosia trifida,Ambrosia trifida - Great Ragweed,FAC
Amelanchier alnifolia,Saskatoon Service-Berry,Amelanchier alnifolia,Amelanchier alnifolia - Saskatoon Service Berry,FACU
Amelanchier arborea,Downy Service-Berry,Amelanchier arborea,Amelanchier arborea - Downy Service Berry,FACU
Amelanchier intermedia,Intermediate Service-Berry,Amelanchier intermedia,Amelanchier intermedia - Intermediate Service Berry,FACW
Amelanchier spicata,Running Service-Berry,Amelanchier spicata,Amelanchier spicata - Running Service Berry,FACU
Amelanchier utahensis,Utah Service-Berry,Amelanchier utahensis,Amelanchier utahensis - Utah Service Berry,FAC
Ammannia auriculata,Eared Redstem,Ammannia auriculata,Ammannia auriculata - Eared Redstem,OBL
Ammannia coccinea,Valley Redstem,Ammannia coccinea,Ammannia coccinea - Valley Redstem,OBL
Ammannia latifolia,Pink Redstem,Ammannia latifolia,Ammannia latifolia - Pink Redstem,OBL
Ammannia robusta,Grand Redstem,Ammannia robusta,Ammannia robusta - Grand Redstem,OBL
Ammoselinum butleri,Butler's Sand-Parsley,Ammoselinum butleri,Ammoselinum butleri - Butler's Sand Parsley,FAC
Amorpha fruticosa,False Indigo-Bush,Amorpha fruticosa,Amorpha fruticosa - False Indigo Bush,FACW
Amorpha nana,Fragrant Indigo-Bush,Amorpha nana,Amorpha nana - Fragrant Indigo Bush,UPL
Amorpha paniculata,Panicled Indigo-Bush,Amorpha paniculata,Amorpha paniculata - Panicled Indigo Bush,FACW
Amorpha roemeriana,Roemer's Indigo-Bush,Amorpha roemeriana,Amorpha roemeriana - Roemer's Indigo Bush,FACU
Ampelopsis arborea,Peppervine,Ampelopsis arborea,Ampelopsis arborea - Peppervine,FAC
Ampelopsis cordata,Heart-Leaf Peppervine,Ampelopsis cordata,Ampelopsis cordata - Heart Leaf Peppervine,FAC
Amphicarpaea bracteata,American Hog-Peanut,Amphicarpaea bracteata,Amphicarpaea bracteata - American Hog Peanut,FACU
Amsonia tabernaemontana,Eastern Bluestar,Amsonia tabernaemontana,Amsonia tabernaemontana - Eastern Bluestar,FACW
Anaphalis margaritacea,Pearly-Everlasting,Anaphalis margaritacea,Anaphalis margaritacea - Pearly Everlasting,FACU
Andromeda polifolia,Bog-Rosemary,Andromeda polifolia,Andromeda polifolia - Bog Rosemary,OBL
Andropogon gerardii,Big Bluestem,Andropogon gerardii,Andropogon gerardii - Big Bluestem,FACU
Andropogon glomeratus,Bushy Bluestem,Andropogon glomeratus,Andropogon glomeratus - Bushy Bluestem,FACW
Andropogon gyrans,Elliott's Bluestem,Andropogon gyrans,Andropogon gyrans - Elliott's Bluestem,FACU
Andropogon hirsutior,,Andropogon hirsutior,Andropogon hirsutior,FACW
Andropogon ternarius,Split-Beard Bluestem,Andropogon ternarius,Andropogon ternarius - Split Beard Bluestem,FACU
Andropogon virginicus,Broom-Sedge,Andropogon virginicus,Andropogon virginicus - Broom Sedge,FACU
Androsace chamaejasme,Sweet-Flower Rock-Jasmine,Androsace chamaejasme,Androsace chamaejasme - Sweet Flower Rock Jasmine,FACU
Androsace occidentalis,Western Rock-Jasmine,Androsace occidentalis,Androsace occidentalis - Western Rock Jasmine,FACU
Androsace septentrionalis,Pygmy-Flower Rock-Jasmine,Androsace septentrionalis,Androsace septentrionalis - Pygmy Flower Rock Jasmine,FACU
Anemone canadensis,Round-Leaf Thimbleweed,Anemone canadensis,Anemone canadensis - Round Leaf Thimbleweed,FACW
Anemone narcissiflora,Narcissus-Flower Thimbleweed,Anemone narcissiflora,Anemone narcissiflora - Narcissus Flower Thimbleweed,FAC
Anemone parviflora,Small-Flower Thimbleweed,Anemone parviflora,Anemone parviflora - Small Flower Thimbleweed,FACU
Anemone quinquefolia,Nightcaps,Anemone quinquefolia,Anemone quinquefolia - Nightcaps,FAC
